doc_id,item,category,amount,price,discount
CHK3406,Порошок,бытовая химия,5,529,0
CHK4054,Кастрюля,посуда,2,292,30
CHK9571,Кружка,посуда,5,914,0
CHK1232,Сахар,продукты,1,546,0
CHK5681,Печенье,продукты,5,751,5
CHK1402,Тарелка,посуда,5,706,0
CHK7409,Сковорода,посуда,3,99,0
CHK3841,Одеяло,текстиль,4,322,0
CHK9255,Кофе,продукты,1,562,0
CHK2712,Одеяло,текстиль,2,588,0
CHK6235,Порошок,бытовая химия,5,939,0
CHK4900,Простыня,текстиль,3,322,0
CHK1002,Кружка,посуда,1,990,0
CHK6478,Кофе,продукты,1,669,0
CHK5921,Пакеты,хозтовары,4,449,5
CHK7965,Подушка,текстиль,3,378,0
CHK8261,Печенье,продукты,5,670,0
CHK5970,Полотенце,текстиль,1,264,10
CHK1932,Печенье,продукты,3,163,0
CHK6316,Полотенце,текстиль,4,424,0
CHK7812,Чай,продукты,3,213,0
CHK9042,Кастрюля,посуда,3,626,0
CHK5663,Гель для душа,бытовая химия,1,994,0
CHK4877,Швабра,хозтовары,3,558,0
CHK5192,Простыня,текстиль,2,697,0
CHK2708,Тарелка,посуда,1,491,5
CHK4250,Шампунь,бытовая химия,4,196,0
CHK9623,Чай,продукты,2,721,0
CHK5622,Сахар,продукты,4,100,0
CHK1140,Кастрюля,посуда,2,496,5
CHK2072,Порошок,бытовая химия,1,921,5
CHK6172,Подушка,текстиль,1,748,0
CHK9636,Сковорода,посуда,3,202,0
CHK6143,Швабра,хозтовары,1,68,0
CHK2834,Кофе,продукты,1,710,0
CHK7329,Подушка,текстиль,3,981,20
CHK6661,Гель для душа,бытовая химия,5,971,10
CHK2266,Подушка,текстиль,3,186,0
CHK2152,Кастрюля,посуда,1,145,20
CHK3379,Чай,продукты,4,483,0
