doc_id,item,category,amount,price,discount
CHK2677,Одеяло,текстиль,4,529,10
CHK2103,Простыня,текстиль,4,855,0
CHK2807,Губки,хозтовары,2,277,0
CHK3784,Мыло,бытовая химия,1,417,0
CHK7991,Печенье,продукты,3,162,0
CHK6785,Сковорода,посуда,5,328,0
CHK7511,Тарелка,посуда,3,125,20
CHK3318,Ведро,хозтовары,2,669,0
CHK8969,Одеяло,текстиль,3,857,0
CHK9837,Кофе,продукты,4,786,20
CHK1988,Подушка,текстиль,3,709,0
CHK2837,Гель для душа,бытовая химия,3,646,0
CHK5274,Гель для душа,бытовая химия,4,873,0
CHK6151,Подушка,текстиль,1,290,0
CHK2135,Кастрюля,посуда,2,171,20
CHK8293,Кастрюля,посуда,1,683,0
CHK5871,Швабра,хозтовары,5,790,0
CHK7947,Кастрюля,посуда,3,171,30
CHK6144,Простыня,текстиль,5,514,0
CHK2568,Одеяло,текстиль,5,253,0
CHK7789,Шампунь,бытовая химия,1,144,10
CHK2316,Ведро,хозтовары,4,131,0
CHK2687,Губки,хозтовары,4,709,5
CHK8048,Печенье,продукты,1,322,0
CHK8561,Подушка,текстиль,4,897,0
CHK7772,Сковорода,посуда,3,874,0
CHK6178,Тарелка,посуда,1,300,10
